"samples"	"Shannon"	"Observed"
"IT1"	9.27101129694066	10852
"IT1"	9.26733287824795	10823
"IT1"	9.26561239448947	10811
"IT2"	9.27464121745179	10876
"IT2"	9.27035569894169	10840
"IT2"	9.27104158093599	10839
"IT3"	9.278286382595	10906
"IT3"	9.28149044229267	10929
"IT3"	9.2810961697047	10925
"IT4"	9.28279360795178	10935
"IT4"	9.28306561694821	10934
"IT4"	9.28197615295877	10933
