contig_id	pH	EC uS/cm	TDS ppm	DO	population	deforestation
IT1_A	2.0268315914075385	4.477336814478207	4.127134385045092	2.0028304393079956	2.640484881606444	3.9983841710761894
IT1_B	2.0744289998562917	4.477336814478207	4.127134385045092	2.0001277349601105	2.640484881606444	3.9983841710761894
IT1_C	2.0856720914304723	4.477336814478207	4.127134385045092	2.010894999144726	2.640484881606444	3.9983841710761894
IT2_A	2.0592388343623163	4.477336814478207	4.127134385045092	1.9933388426264242	2.73696154459663	3.9976500913955832
IT2_B	2.057962510002712	4.48863636973214	4.127134385045092	1.9768549529047348	2.73696154459663	3.9976500913955832
IT2_C	2.060513531794317	4.499809670330265	4.143134726391533	2.05668455455722	2.73696154459663	3.9976500913955832
IT3_A	2.138889000323256	4.477336814478207	4.127134385045092	2.0360119837525	2.8231630082027146	3.9974664872456134
IT3_B	2.122261538862764	4.5217885770490405	4.1588830833596715	2.046401687601636	2.8231630082027146	3.9974664872456134
IT3_C	2.0769384114617173	4.499809670330265	4.143134726391533	2.048982334195127	2.8231630082027146	3.9974664872456134
IT4_A	2.1424163408412245	3.912023005428146	3.5553480614894135	1.9974177062012453	2.836736542063533	3.9974664872456134
IT4_B	2.0781907597781832	4.499809670330265	4.143134726391533	2.0412203288596382	2.836736542063533	3.9974664872456134
IT4_C	2.066862759472976	4.48863636973214	4.127134385045092	2.0162354657760435	2.836736542063533	3.9974664872456134
