contig_id	IT1_A	IT1_B	IT1_C	IT2_A	IT2_B	IT2_C	IT3_A	IT3_B	IT3_C	IT4_A	IT4_B	IT4_C
IT1_100465	4.122570301005438	3.979913519153781	4.076676761465393	3.8664199088382842	3.9082478702211008	4.00174017202701	4.184856775590059	3.720228584621074	3.864419294680392	3.987334254120735	4.227813976455499	4.013680186627481
IT1_100586	4.2407467677202435	4.077113505123166	3.6638503210994875	4.294098944288923	3.2151250773430258	4.1899692191637055	3.7986566863741666	4.255579488479334	4.2101770940104695	4.324497649577321	4.460616050366594	4.402366962976082
IT1_1008615	5.802222801114255	5.9333563098436075	5.988292215583637	5.5545776697118106	5.240963492543834	5.254152069517928	5.219153893496634	5.118877846066767	4.940135195821741	4.721980909434448	4.909865728571719	4.965582075663622
IT1_101353	4.674570674318293	4.722613447455727	4.815460620579558	4.670548780859203	4.728226599250024	4.66095148735982	4.060483728359068	4.275633843299988	4.467942405888005	4.454429723620388	4.334296098049211	4.212800626531308
IT1_1017617	3.860706292628438	3.614364842191883	4.074030693138882	3.870162922549033	3.8380540472977076	3.2749456388664155	3.383046550020529	3.5097951788803385	3.5377332929897154	3.9200569163229892	3.531639705587929	3.695140797121055
IT1_1020974	3.6832767743863988	3.354297245920341	3.7224418586979073	3.3424507360669455	3.2351624465293582	3.3633069343280244	2.8699567479097388	3.2348020682060556	3.502241454695153	3.2607056052424768	3.149732285365561	3.625749499342708
IT1_1021256	3.988655856328577	3.8727438500835123	3.6340602367768153	3.771110664986847	3.847793902275591	3.6010499557282833	3.716544943755992	4.043875069819754	3.953675855298593	3.575822248520623	3.845145876291198	3.721815324503122
IT1_1026476	3.967635886388926	4.165757692355152	3.9855421439122356	4.174313402948819	4.0599306346514155	3.9063413307490626	4.091263906506552	4.070212897823625	4.361880627591316	4.173747639214894	4.334544997711592	4.425848225340734
IT1_1027320	3.6008630685207104	3.700949969484589	3.1556283981671687	3.1328688902323027	3.7271430854203866	2.979730963469473	3.239527912194886	3.3016738327145743	2.904361927496546	2.7587398754700283	3.3842852927070766	3.5086301042955985
IT1_1027833	3.3573272102059213	3.6961665036398905	3.190481772223613	3.6145949316565624	4.232411758085836	3.3566999465735035	4.23304735035406	4.085497001079676	4.179210814074296	4.20227985461523	4.214344922727998	4.210664398431894
