contig_id	IT1_A	IT1_B	IT1_C	IT2_A	IT2_B	IT2_C	IT3_A	IT3_B	IT3_C	IT4_A	IT4_B	IT4_C	length
IT4_3017483	20	38	22	29	22	22	43	53	45	125	175	98	3019
IT4_3017730	42	64	68	38	30	49	47	75	67	148	181	107	4595
IT4_3017740	18	22	24	34	22	16	22	28	40	55	46	43	6966
IT4_3018314	123	169	166	114	99	76	118	120	125	196	298	165	14886
IT4_3019297	65	105	109	82	53	75	48	62	68	132	161	94	5614
IT4_3019497	199	225	221	206	150	131	285	323	306	596	734	553	55567
IT4_3019666	45	49	50	22	14	21	50	51	80	150	232	148	15763
IT4_302013	83	98	91	125	65	79	230	162	192	200	224	200	15000
IT4_3020397	5574	6633	6363	6096	4796	5780	6352	7351	6279	9421	11013	8338	54542
IT4_3021132	41	44	30	38	30	20	34	30	33	61	92	64	7420
IT4_3022716	50	52	50	36	28	25	20	27	16	42	30	21	6275
IT4_3023344	31	41	36	34	33	30	23	42	62	69	94	55	7186
IT4_3023368	45	85	41	73	29	50	29	66	58	66	79	54	7491
IT4_3023420	26	23	12	26	18	12	18	27	36	53	34	47	6267
IT4_3024334	12	20	16	14	6	0	13	16	8	34	40	26	5159
IT4_3026241	13	4	10	4	10	0	14	8	22	20	17	26	3524
IT4_3026455	18	26	20	16	6	12	16	19	20	38	49	25	3286
IT4_3027155	12	14	25	14	12	13	16	8	20	48	56	46	3763
IT4_3027906	25	25	32	32	34	38	43	51	38	100	106	102	8063
IT4_3028413	37	26	24	32	17	22	50	28	27	40	72	61	4168
IT4_3028494	37	38	32	21	14	28	25	18	31	44	52	30	6257
IT4_30297	490	592	592	459	466	330	419	913	837	1121	1387	1124	42233
IT4_3030165	47	34	32	28	36	28	35	18	41	83	81	46	8760
IT4_3030384	39	46	31	39	40	26	30	47	32	48	38	35	4085
IT4_3030485	1004	1129	1143	1085	743	924	1010	1276	1337	2062	2202	1774	24480
IT4_3030773	4	4	13	6	2	9	6	19	6	23	40	11	3011
IT4_303100	111	87	104	56	75	58	87	108	88	82	140	115	19874
IT4_3031202	14	24	18	27	10	28	35	39	19	26	48	32	3342
IT4_3032480	236	290	248	197	177	178	191	280	309	440	506	367	27350
IT4_303315	56	54	66	43	38	32	50	69	58	143	221	137	7624
IT4_3033800	24	24	26	15	14	16	13	20	16	28	36	22	5121
IT4_3035232	162	237	252	201	126	163	246	227	253	427	476	375	22399
IT4_3036557	36	65	34	36	45	44	27	34	42	62	61	58	10340
IT4_303687	37	49	43	34	46	41	24	43	45	66	70	58	8956
IT4_3036871	30	46	38	26	50	41	32	28	43	79	127	55	7500
IT4_3036930	17	24	18	24	8	16	30	36	20	82	89	56	5522
IT4_3037065	10	14	14	8	8	6	12	21	18	124	138	63	5929
IT4_303804	269	269	250	224	158	166	186	238	287	340	477	327	31068
IT4_3038077	43	33	46	51	21	25	33	36	28	51	100	71	9790
IT4_3038753	12	21	19	7	12	13	11	11	29	54	38	42	5383
IT4_3039397	21	28	18	30	27	26	42	49	27	88	68	73	7028
IT4_3039952	28	29	34	26	18	28	46	46	32	148	98	122	8345
IT4_304001	459	614	519	425	313	322	445	456	510	746	802	572	36948
IT4_3041634	42	56	64	45	44	27	11	29	41	40	42	30	4511
IT4_3042662	4	13	13	20	10	16	15	14	16	34	42	32	3794
IT4_30428	128	130	137	101	71	68	92	83	119	275	289	175	18718
IT4_3044383	84	107	72	40	28	54	28	52	37	52	74	50	6819
IT4_3044627	20	20	16	17	14	18	20	23	22	56	64	63	5639
IT4_3044768	21	46	46	36	14	12	54	32	28	80	117	78	3846
IT4_3045201	41	61	25	39	38	35	23	26	33	77	103	83	7267
IT4_3046433	19	34	35	18	28	15	15	18	23	40	62	52	5343
IT4_3046807	10	12	12	2	4	12	2	12	0	15	28	12	3030
IT4_3046886	16	36	25	22	22	12	34	37	33	38	39	51	3358
IT4_304706	16	23	22	24	20	22	20	28	32	30	67	42	3119
IT4_3047735	29	34	18	36	24	29	39	26	25	20	47	36	5475
IT4_3047887	4	8	6	2	4	12	3	4	9	19	30	29	3395
IT4_3048212	302	437	491	275	182	246	231	315	277	344	457	377	49230
IT4_3048249	100	111	113	121	97	97	100	127	90	211	225	188	22664
IT4_3048670	54	85	89	72	46	74	155	141	178	305	369	288	3692
IT4_3048954	11	6	9	4	14	9	9	12	2	30	36	20	3244
IT4_3049966	24	31	23	26	15	14	14	22	21	30	47	39	3237
IT4_3050563	21	30	26	18	10	14	18	28	20	38	28	22	3932
IT4_3051300	60	99	98	62	43	65	55	47	93	186	162	91	7869
IT4_3051622	20	20	12	20	2	10	16	16	18	53	98	46	6537
IT4_3051970	29	38	49	19	14	38	34	42	56	89	100	58	6212
IT4_3052053	85	103	108	102	105	94	73	104	114	145	197	134	20538
IT4_3052133	81	98	85	81	71	50	74	81	72	135	172	108	9940
IT4_3052332	18	26	28	14	13	20	42	19	57	64	54	24	3358
IT4_3052499	87	126	132	91	99	69	161	123	126	176	180	151	10914
IT4_3053489	70	117	78	82	60	64	75	119	74	86	106	91	4839
IT4_3053675	4	12	10	28	26	19	48	53	48	48	86	56	5108
IT4_3054302	16	20	2	12	2	17	6	4	4	9	8	16	3009
IT4_3054551	164	200	169	156	126	156	218	267	243	235	286	227	16118
IT4_3054871	2380	2901	2925	2688	2641	2797	2584	3431	3183	5146	6140	4670	202498
IT4_3055188	8	10	23	7	8	10	10	7	11	18	30	24	4371
IT4_3055201	40	72	32	25	25	24	101	83	89	203	243	143	7063
IT4_3055836	8	8	8	2	0	16	8	8	14	22	28	21	3297
IT4_305612	80	93	129	59	48	44	162	121	206	544	600	513	31375
IT4_3056138	740	950	942	839	542	663	926	1079	1005	1633	1880	1417	93224
IT4_3056141	36	40	50	34	22	40	18	38	40	64	104	70	5786
IT4_3056213	16	30	12	18	12	19	6	8	12	39	27	28	3743
IT4_3056866	25	32	19	17	11	16	21	27	16	56	92	63	4359
IT4_3057269	70	56	53	27	28	42	44	44	46	77	72	59	4130
IT4_3057708	37	59	77	29	14	39	21	22	26	41	47	54	5553
IT4_3057735	130	130	122	131	101	110	138	168	155	180	210	143	14222
IT4_3057989	16	13	18	10	12	6	15	18	5	30	29	18	3852
IT4_3058976	124	195	212	186	118	110	26	51	47	42	42	31	3440
IT4_3059570	14	14	12	18	20	10	24	24	41	121	136	111	8616
IT4_3059897	46	38	55	22	30	28	42	52	44	71	96	56	4309
IT4_3060114	16	20	28	12	4	8	8	10	12	31	36	33	3029
IT4_306050	52	57	40	47	37	47	38	78	54	54	73	58	3115
IT4_3061002	23	27	31	28	9	22	30	44	22	28	70	48	5476
IT4_3061209	10	8	18	11	12	8	10	9	9	14	31	26	3237
IT4_3061879	74	90	77	62	51	38	44	74	85	109	136	92	5008
IT4_3061943	46	61	71	41	20	34	17	28	22	56	54	57	4983
IT4_3063942	18	10	18	18	14	12	17	24	15	36	58	23	5212
IT4_3064517	43	43	38	46	17	40	106	82	91	178	198	136	17410
IT4_3064710	185	257	222	262	208	146	258	475	387	584	746	486	42406
IT4_3064832	30	54	72	21	34	31	25	38	29	71	56	38	6685
IT4_3065075	25	40	32	32	16	30	46	36	30	46	83	36	5235
IT4_3065399	32	46	61	38	24	30	25	48	24	43	37	22	6507
IT4_306653	8	9	24	6	14	20	31	50	34	116	143	116	5210
IT4_3067429	47	93	70	31	51	52	48	71	78	96	120	124	9458
IT4_306754	21	16	4	4	13	8	4	14	11	18	17	8	3539
IT4_3067798	142	214	178	174	126	117	162	199	156	266	287	268	17825
IT4_3068179	14	14	11	12	10	12	6	6	19	44	68	24	3700
IT4_3068422	6	16	12	14	12	25	6	18	22	22	30	14	4196
IT4_3068864	282	323	310	245	232	209	254	322	397	511	533	400	17032
IT4_306891	44	66	45	48	36	40	55	67	78	87	98	92	8564
IT4_3069088	47	51	86	41	38	30	61	89	108	259	306	248	14387
IT4_3069902	21	34	20	19	27	22	20	18	21	43	39	22	4031
IT4_3070047	24	26	34	30	14	18	67	58	41	95	163	125	12648
IT4_3070603	7	4	2	6	8	16	28	39	22	33	52	42	3432
IT4_3070823	4	22	13	3	4	12	16	8	15	40	22	59	3660
IT4_307141	26	38	38	24	22	22	16	48	23	40	53	33	4081
IT4_3071532	129	83	82	134	96	134	97	164	50	129	118	122	20076
IT4_3073987	39	20	28	32	14	21	16	29	32	22	37	14	4344
IT4_3074334	63	66	43	64	37	42	38	28	50	76	87	48	8549
IT4_3078100	0	2	2	1	0	0	137	245	200	253	269	205	14345
IT4_3078648	100	107	112	66	71	79	95	132	91	120	127	113	16816
IT4_3079220	125	164	163	132	106	97	127	106	70	161	158	138	25617
IT4_3081181	695	872	881	778	496	597	662	793	781	1080	1246	914	28216
IT4_3081900	325	386	393	344	253	349	95	419	325	276	304	253	21940
IT4_3082893	109	130	124	107	81	110	98	119	139	227	239	194	20559
IT4_3083470	15	22	17	20	8	18	21	34	30	131	96	116	7957
IT4_3083801	33	28	31	17	10	24	28	17	29	26	40	38	4164
IT4_3084503	62	95	61	58	52	67	63	92	102	109	143	105	11972
IT4_3085280	274	345	292	309	233	208	214	268	261	296	333	293	44011
IT4_3087043	45	32	27	7	15	21	18	15	18	23	33	18	5241
IT4_3087757	24	14	20	16	10	20	11	13	6	40	42	27	3977
IT4_3088352	32	54	41	51	27	28	35	39	33	50	84	46	3103
IT4_3091013	26	12	21	16	18	19	20	25	17	26	16	41	5113
IT4_3091065	9	17	6	4	0	12	6	11	14	29	37	22	3984
IT4_3091200	12	15	18	30	8	12	10	12	13	18	10	18	3632
IT4_3091836	9	18	22	13	10	10	0	10	23	57	47	29	4698
IT4_3092017	2	4	11	0	4	4	3	6	10	26	37	26	3186
IT4_3092104	44	46	46	40	42	48	39	61	32	52	86	64	3008
IT4_3092193	6	22	22	22	30	14	26	16	38	32	71	36	5520
IT4_3092724	104	107	78	88	98	106	40	66	103	215	298	192	10622
IT4_3092784	59	88	98	33	40	42	37	21	54	46	42	69	6797
IT4_3093223	24	57	42	39	36	31	30	56	79	95	98	95	3272
IT4_3093756	22	31	21	12	20	16	4	20	3	14	47	16	4141
IT4_3093832	42	76	69	46	32	71	93	90	85	240	281	194	20707
IT4_3094657	120	123	102	120	72	106	133	110	141	187	171	135	6194
IT4_3094721	106	97	103	107	95	69	97	133	141	221	240	202	4118
IT4_3096756	17	18	14	16	4	8	14	17	11	20	20	18	3704
IT4_30968	21	18	18	5	21	14	33	20	33	70	88	69	7735
IT4_3096811	9	14	18	14	12	9	15	27	23	36	36	31	3554
IT4_3097091	4	8	14	6	10	12	20	18	4	70	64	52	3870
IT4_3100304	20	24	39	24	35	17	45	53	44	64	107	97	3900
IT4_3100894	16	36	11	20	19	23	23	48	12	48	30	24	3363
IT4_3101051	29	44	36	22	20	29	11	22	23	40	57	45	6732
IT4_3101077	0	0	0	0	0	0	32	117	68	62	61	53	7187
IT4_3101162	48	60	54	61	41	18	20	45	55	57	42	32	8430
IT4_3101993	39	32	27	20	10	17	41	35	28	81	104	79	7088
IT4_3102454	24	10	14	14	7	10	4	8	8	32	48	16	3624
IT4_3102800	8	17	8	13	10	18	8	12	12	22	48	22	3013
IT4_3102955	21	18	9	9	14	16	14	10	12	36	46	39	3024
IT4_3103066	10	17	12	20	9	8	24	12	18	31	28	41	4686
IT4_310385	49	61	50	19	29	41	63	80	88	144	162	164	9541
IT4_3103926	34	28	22	20	30	18	34	31	40	50	68	42	5541
IT4_3104097	10	28	20	23	22	20	20	23	28	52	59	49	5682
IT4_3104303	12	7	5	10	22	2	18	29	20	52	64	37	5106
IT4_3105985	0	6	10	16	10	4	5	8	12	10	22	26	3235
IT4_3106099	32	32	22	40	18	12	34	37	26	66	67	65	7290
IT4_3106880	36	47	57	60	41	33	29	77	81	108	87	63	10638
IT4_3107168	147	149	179	75	86	82	51	91	71	69	84	81	9841
IT4_3107296	10	22	7	33	20	24	38	39	35	64	98	38	5901
IT4_3107979	1617	2032	1892	1883	1534	1581	2340	2377	2426	3505	4049	3038	38649
IT4_3108067	298	272	221	207	196	189	267	319	286	562	660	515	48792
IT4_3108077	20	32	14	22	19	10	46	56	40	113	144	99	5521
IT4_3108630	20	16	4	7	16	10	6	8	12	14	14	16	3408
IT4_3109047	14	14	10	22	17	6	10	14	6	24	18	3	3026
IT4_3109404	226	207	200	184	167	145	173	341	207	201	288	199	22535
IT4_3110064	22	2	0	132	69	84	7	7	9	55	58	42	5148
IT4_3110931	36	46	63	27	44	42	33	63	64	123	129	97	13870
