"samples"	"Shannon"	"Observed"
"IT1"	9.63077206348376	15589
"IT1"	9.62728101424434	15552
"IT1"	9.62598816725631	15537
"IT2"	9.63439362609614	15609
"IT2"	9.63193544440013	15595
"IT2"	9.63227520114593	15584
"IT3"	9.63847530234366	15657
"IT3"	9.63992319334458	15668
"IT3"	9.64003456268468	15672
"IT4"	9.64034881822729	15673
"IT4"	9.64103032073843	15676
"IT4"	9.63993302442323	15671
